Time,Sensors,Requests,success,ErrorRate,AvgLatency
09:22:21,10,297,297,0.00,0.04
09:22:31,10,373,373,0.00,0.04
09:22:41,10,347,347,0.00,0.04
09:22:51,10,285,285,0.00,0.04
09:23:01,10,389,389,0.00,0.04
09:23:11,50,289,289,0.00,0.04
09:23:21,50,1587,1587,0.00,0.02
09:23:31,50,1539,1539,0.00,0.02
09:23:41,50,1691,1691,0.00,0.02
09:23:51,50,1786,1786,0.00,0.02
09:24:01,50,1417,1417,0.00,0.02
09:24:11,50,1328,1328,0.00,0.02
09:24:21,20,1481,1481,0.00,0.02
09:24:31,20,415,415,0.00,0.02
09:24:41,20,580,580,0.00,0.02
09:24:51,20,560,560,0.00,0.02
09:25:01,20,591,591,0.00,0.02
09:25:11,20,507,507,0.00,0.02
09:25:21,50,586,586,0.00,0.03
09:25:31,50,1386,1386,0.00,0.02
09:25:41,50,1610,1610,0.00,0.02
09:25:51,50,1437,1437,0.00,0.02
09:26:01,50,1485,1485,0.00,0.02
09:26:11,50,1622,1622,0.00,0.02
09:26:21,30,1396,1396,0.00,0.02
09:26:31,30,756,756,0.00,0.02
09:26:41,30,507,507,0.00,0.02
09:26:51,30,961,961,0.00,0.02
09:27:01,30,716,716,0.00,0.02
09:27:11,30,1049,1049,0.00,0.02
09:27:21,10,885,885,0.00,0.02
09:27:31,10,322,322,0.00,0.02
09:27:41,10,220,220,0.00,0.02
09:27:51,10,334,334,0.00,0.02
09:28:01,10,395,395,0.00,0.02
09:28:11,10,312,312,0.00,0.02
09:28:21,0,271,271,0.00,0.02
