number,difficulty,gasLimit,totalDifficulty
44,486852,4114240354,21988911
45,487089,4110222543,22476000
46,487089,4106208655,22963089
47,487326,4102198687,23450415
48,487326,4098192635,23937741
49,487563,4094190495,24425304
50,487801,4090192264,24913105
51,488039,4086197937,25401144
52,488277,4082207511,25889421
53,488277,4078220982,26377698
54,488515,4074238346,26866213
55,488753,4070259599,27354966
56,488753,4066284738,27843719
57,488991,4062313758,28332710
58,489229,4058346656,28821939
59,489467,4054383428,29311406
60,489705,4050424071,29801111
61,489944,4046468580,30291055
62,490183,4042516952,30781238
63,490422,4038569183,31271660
64,490661,4034625269,31762321
65,490900,4030685207,32253221
66,490900,4026748992,32744121
67,491139,4022816621,33235260
68,491378,4018888091,33726638
69,491378,4014963397,34218016
70,491617,4011042536,34709633
71,491857,4007125504,35201490
72,491857,4003212297,35693347
73,491857,3999302911,36185204
74,492097,3995397343,36677301
75,491857,3991495589,37169158
76,492097,3987597646,37661255
77,492337,3983703509,38153592
78,492577,3979813175,38646169
79,492817,3975926640,39138986
80,493057,3972043901,39632043
81,492577,3968164953,40124620
82,492577,3964289793,40617197
83,492577,3960418418,41109774
84,492577,3956550823,41602351
85,492817,3952687005,42095168
86,493057,3948826961,42588225
