Time,Sensors,Requests,success,ErrorRate,AvgLatency
13:58:22,10,25,25,0.00,59.41
13:58:32,10,19,19,0.00,13.44
13:58:42,10,20,20,0.00,13.05
13:58:52,10,20,20,0.00,15.31
13:59:02,10,19,19,0.00,12.80
13:59:12,50,23,23,0.00,19.35
13:59:22,50,118,118,0.00,80.14
13:59:32,50,96,96,0.00,11.26
13:59:42,50,102,102,0.00,11.93
13:59:52,50,100,100,0.00,11.12
14:00:02,50,102,102,0.00,11.02
14:00:12,80,104,104,0.00,13.90
14:00:22,80,167,167,0.00,43.10
14:00:32,80,159,159,0.00,11.06
14:00:42,80,169,169,0.00,11.05
14:00:52,80,154,154,0.00,11.02
14:01:02,80,160,160,0.00,10.75
14:01:12,20,155,155,0.00,11.18
14:01:22,20,40,40,0.00,10.67
14:01:32,20,41,41,0.00,10.20
14:01:42,20,42,42,0.00,10.58
14:01:52,20,38,38,0.00,10.65
14:02:02,20,42,42,0.00,10.74
14:02:12,60,48,48,0.00,19.59
14:02:22,60,132,132,0.00,67.01
14:02:32,60,122,122,0.00,10.48
14:02:42,60,118,118,0.00,10.52
14:02:52,60,125,125,0.00,10.47
14:03:02,60,116,116,0.00,11.05
14:03:12,90,125,125,0.00,16.47
14:03:22,90,195,195,0.00,31.78
14:03:32,90,178,178,0.00,10.30
14:03:42,90,176,176,0.00,10.63
14:03:52,90,192,192,0.00,10.60
14:04:02,90,173,173,0.00,10.56
14:04:12,100,191,191,0.00,13.80
14:04:22,100,191,191,0.00,10.37
14:04:32,100,196,196,0.00,10.91
14:04:42,100,203,203,0.00,10.49
14:04:52,100,201,201,0.00,9.89
14:05:02,100,194,194,0.00,11.35
14:05:12,70,204,204,0.00,11.35
14:05:22,70,134,134,0.00,11.11
14:05:32,70,142,142,0.00,11.48
14:05:42,70,136,136,0.00,10.77
14:05:52,70,137,137,0.00,10.07
14:06:02,70,139,139,0.00,11.29
14:06:12,50,141,141,0.00,11.11
14:06:22,50,104,104,0.00,10.73
14:06:32,50,94,94,0.00,10.91
14:06:42,50,102,102,0.00,11.32
14:06:52,50,95,95,0.00,11.03
14:07:02,50,98,98,0.00,10.82
14:07:12,80,118,118,0.00,23.12
14:07:22,80,161,161,0.00,28.80
14:07:32,80,171,171,0.00,10.44
14:07:42,80,151,151,0.00,10.82
14:07:52,80,166,166,0.00,10.60
14:08:02,80,160,160,0.00,10.99
14:08:12,100,172,172,0.00,20.07
14:08:22,100,202,202,0.00,12.64
14:08:32,100,197,197,0.00,10.96
14:08:42,100,197,197,0.00,10.43
14:08:52,100,207,207,0.00,10.82
14:09:02,100,203,203,0.00,10.47
14:09:12,10,195,195,0.00,10.91
14:09:22,10,20,20,0.00,10.34
14:09:32,10,21,21,0.00,9.81
14:09:42,10,20,20,0.00,10.60
14:09:52,10,19,19,0.00,9.68
14:10:02,10,20,20,0.00,10.53
14:10:12,30,41,41,0.00,54.10
14:10:22,30,54,54,0.00,10.75
14:10:32,30,59,59,0.00,10.03
14:10:42,30,61,61,0.00,10.59
14:10:52,30,62,62,0.00,9.94
14:11:02,30,61,61,0.00,10.25
14:11:12,60,81,81,0.00,38.50
14:11:22,60,114,114,0.00,26.42
14:11:32,60,122,122,0.00,10.25
14:11:42,60,121,121,0.00,10.55
14:11:52,60,121,121,0.00,10.50
14:12:02,60,124,124,0.00,10.25
14:12:12,90,138,138,0.00,28.21
14:12:22,90,175,175,0.00,19.81
14:12:32,90,183,183,0.00,10.35
14:12:42,90,181,181,0.00,11.37
14:12:52,90,187,187,0.00,10.54
14:13:02,90,186,186,0.00,10.61
14:13:12,70,171,171,0.00,10.31
14:13:22,70,141,141,0.00,10.10
14:13:32,70,141,141,0.00,10.32
14:13:42,70,142,142,0.00,11.12
14:13:52,70,134,134,0.00,10.23
14:14:02,70,137,137,0.00,9.71
14:14:12,0,135,135,0.00,10.14
